URL_Length,Dots_Count,Suspicious_TLD,Hyphen_Count,Subdir_Count,Domain_Length,IP_Present,Double_Slash_Count,URL_Shortening_Service,Count_SubDomain (Domain_Tokens),Count_Queries,Count_At_Symbol,Presence of %20,digit/letter,special_characters
50.0,2.0,1.0,0.0,1.0,42.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1282051282051282,1.0
67.0,4.0,0.0,0.0,3.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.10204081632653061,4.0
70.0,2.0,0.0,4.0,2.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2553191489361702,2.0
24.0,2.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.05555555555555555,0.0
24.0,2.0,0.0,1.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46.0,2.0,0.0,0.0,3.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
48.0,3.0,0.0,1.0,1.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
47.0,2.0,0.0,0.0,3.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
45.0,2.0,0.0,2.0,0.0,38.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.02702702702702703,0.0
38.0,2.0,0.0,1.0,1.0,29.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
54.0,4.0,0.0,1.0,3.0,16.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
20.0,2.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22.0,2.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84.0,3.0,0.0,1.0,2.0,44.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.07352941176470588,2.0
36.0,2.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26.0,2.0,0.0,0.0,1.0,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20.0,2.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.15384615384615385,0.0
24.0,2.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32.0,2.0,0.0,1.0,2.0,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
33.0,2.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,2.0,0.0,0.0,3.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
40.0,3.0,0.0,1.0,1.0,32.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
33.0,3.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
91.0,3.0,0.0,0.0,9.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.46153846153846156,9.0
62.0,1.0,0.0,1.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,3.0
24.0,2.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
75.0,2.0,0.0,1.0,3.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.375,3.0
18.0,2.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
219.0,2.0,0.0,0.0,3.0,15.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.711864406779661,4.0
18.0,2.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
76.0,2.0,0.0,1.0,4.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
30.0,1.0,0.0,0.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35.0,2.0,0.0,0.0,1.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
22.0,2.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
21.0,2.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.06666666666666667,0.0
